Tarih	Üretim (kWh)
1.05.2018 04:55	0
1.05.2018 05:00	0
1.05.2018 05:15	0
1.05.2018 05:30	0
1.05.2018 05:45	0
1.05.2018 06:00	0
1.05.2018 06:15	0
1.05.2018 06:30	0
1.05.2018 06:45	0
1.05.2018 07:00	0
1.05.2018 07:15	0
1.05.2018 07:30	10
1.05.2018 07:45	20
1.05.2018 08:00	0
1.05.2018 08:15	0
1.05.2018 08:30	20
1.05.2018 08:45	20
1.05.2018 09:00	30
1.05.2018 09:15	70
1.05.2018 09:30	40
1.05.2018 09:45	70
1.05.2018 10:00	80
1.05.2018 10:15	80
1.05.2018 10:30	100
1.05.2018 10:45	130
1.05.2018 11:00	110
1.05.2018 11:15	160
1.05.2018 11:30	190
1.05.2018 11:45	200
1.05.2018 12:00	230
1.05.2018 12:15	220
1.05.2018 12:30	230
1.05.2018 12:45	230
1.05.2018 13:00	230
1.05.2018 13:15	270
1.05.2018 13:30	200
1.05.2018 13:45	270
1.05.2018 14:00	220
1.05.2018 14:15	250
1.05.2018 14:30	240
1.05.2018 14:45	190
1.05.2018 15:00	230
1.05.2018 15:15	200
1.05.2018 15:30	220
1.05.2018 15:45	190
1.05.2018 16:00	180
1.05.2018 16:15	200
1.05.2018 16:30	170
1.05.2018 16:45	140
1.05.2018 17:00	170
1.05.2018 17:15	100
1.05.2018 17:30	110
1.05.2018 17:45	120
1.05.2018 18:00	60
1.05.2018 18:15	70
1.05.2018 18:30	60
1.05.2018 18:45	50
1.05.2018 19:00	10
1.05.2018 19:15	0
1.05.2018 19:30	10
1.05.2018 19:45	0
1.05.2018 20:00	0
1.05.2018 20:15	0
1.05.2018 20:30	0
1.05.2018 20:45	0
1.05.2018 21:00	0
1.05.2018 21:15	0
1.05.2018 21:30	0
1.05.2018 21:45	0
2.05.2018 04:55	0
2.05.2018 05:00	0
2.05.2018 05:15	0
2.05.2018 05:30	0
2.05.2018 05:45	0
2.05.2018 06:00	0
2.05.2018 06:15	0
2.05.2018 06:30	0
2.05.2018 06:45	0
2.05.2018 07:00	0
2.05.2018 07:15	0
2.05.2018 07:30	10
2.05.2018 07:45	40
2.05.2018 08:00	0
2.05.2018 08:15	0
2.05.2018 08:30	10
2.05.2018 08:45	30
2.05.2018 09:00	30
2.05.2018 09:15	10
2.05.2018 09:30	40
2.05.2018 09:45	30
2.05.2018 10:00	60
2.05.2018 10:15	50
2.05.2018 10:30	30
2.05.2018 10:45	90
2.05.2018 11:15	180
2.05.2018 11:30	150
2.05.2018 11:45	150
2.05.2018 12:00	210
2.05.2018 12:15	200
2.05.2018 12:30	200
2.05.2018 12:45	260
2.05.2018 13:00	190
2.05.2018 13:15	260
2.05.2018 13:30	230
2.05.2018 13:45	220
2.05.2018 14:00	250
2.05.2018 14:15	210
2.05.2018 14:30	200
2.05.2018 14:45	250
2.05.2018 15:00	190
2.05.2018 15:15	240
2.05.2018 15:30	170
2.05.2018 15:45	220
2.05.2018 16:00	160
2.05.2018 16:15	160
2.05.2018 16:30	150
2.05.2018 16:45	130
2.05.2018 17:00	160
2.05.2018 17:15	140
2.05.2018 17:30	120
2.05.2018 17:45	50
2.05.2018 18:00	90
2.05.2018 18:15	60
2.05.2018 18:30	10
2.05.2018 18:45	0
2.05.2018 19:00	10
2.05.2018 19:15	10
2.05.2018 19:30	10
2.05.2018 19:45	0
2.05.2018 20:00	0
2.05.2018 20:15	0
2.05.2018 20:30	0
2.05.2018 20:45	0
2.05.2018 21:00	0
2.05.2018 21:15	0
2.05.2018 21:30	0
2.05.2018 21:45	0
3.05.2018 04:55	0
3.05.2018 05:00	0
3.05.2018 05:15	0
3.05.2018 05:30	0
3.05.2018 05:45	0
3.05.2018 06:00	0
3.05.2018 06:15	0
3.05.2018 06:30	0
3.05.2018 06:45	0
3.05.2018 07:00	0
3.05.2018 07:15	30
3.05.2018 07:30	10
3.05.2018 07:45	30
3.05.2018 08:00	50
3.05.2018 08:15	40
3.05.2018 08:30	60
3.05.2018 08:45	70
3.05.2018 09:00	90
3.05.2018 09:15	80
3.05.2018 09:30	100
3.05.2018 09:45	130
3.05.2018 10:00	150
3.05.2018 10:15	120
3.05.2018 10:30	160
3.05.2018 10:45	190
3.05.2018 11:00	170
3.05.2018 11:15	190
3.05.2018 11:30	170
3.05.2018 11:45	210
3.05.2018 12:00	210
3.05.2018 12:15	250
3.05.2018 12:30	190
3.05.2018 12:45	220
3.05.2018 13:00	230
3.05.2018 13:15	230
3.05.2018 13:30	220
3.05.2018 13:45	220
3.05.2018 14:00	200
3.05.2018 14:15	230
3.05.2018 14:30	240
3.05.2018 14:45	200
3.05.2018 15:00	210
3.05.2018 15:15	210
3.05.2018 15:30	180
3.05.2018 15:45	170
3.05.2018 16:00	120
3.05.2018 16:15	200
3.05.2018 16:30	160
3.05.2018 16:45	120
3.05.2018 17:00	140
3.05.2018 17:15	150
3.05.2018 17:30	60
3.05.2018 17:45	110
3.05.2018 18:00	70
3.05.2018 18:15	60
3.05.2018 18:30	60
3.05.2018 18:45	20
3.05.2018 19:00	20
3.05.2018 19:15	20
3.05.2018 19:30	0
3.05.2018 19:45	0
3.05.2018 20:00	0
3.05.2018 20:15	0
3.05.2018 20:30	0
3.05.2018 20:45	0
3.05.2018 21:00	0
3.05.2018 21:15	0
3.05.2018 21:30	0
3.05.2018 21:45	0
4.05.2018 04:55	0
4.05.2018 05:00	0
4.05.2018 05:15	0
4.05.2018 05:30	0
4.05.2018 05:45	0
4.05.2018 06:00	0
4.05.2018 06:15	0
4.05.2018 06:30	0
4.05.2018 06:45	0
4.05.2018 07:00	0
4.05.2018 07:15	0
4.05.2018 07:30	10
4.05.2018 07:45	0
4.05.2018 08:00	10
4.05.2018 08:15	20
4.05.2018 08:30	60
4.05.2018 08:45	20
4.05.2018 09:00	40
4.05.2018 09:15	30
4.05.2018 09:30	80
4.05.2018 09:45	50
4.05.2018 10:00	30
4.05.2018 10:15	90
4.05.2018 10:30	60
4.05.2018 10:45	80
4.05.2018 11:00	50
4.05.2018 11:15	30
4.05.2018 11:30	100
4.05.2018 11:45	80
4.05.2018 12:00	160
4.05.2018 12:15	140
4.05.2018 12:30	210
4.05.2018 12:45	210
4.05.2018 13:00	230
4.05.2018 13:15	250
4.05.2018 13:30	210
4.05.2018 13:45	220
4.05.2018 14:00	260
4.05.2018 14:15	200
4.05.2018 14:30	240
4.05.2018 14:45	220
4.05.2018 15:00	200
4.05.2018 15:15	200
4.05.2018 15:30	190
4.05.2018 15:45	180
4.05.2018 16:00	170
4.05.2018 16:15	170
4.05.2018 16:30	170
4.05.2018 16:45	140
4.05.2018 17:00	90
4.05.2018 17:15	90
4.05.2018 17:30	40
4.05.2018 17:45	110
4.05.2018 18:00	20
4.05.2018 18:15	0
4.05.2018 18:30	10
4.05.2018 18:45	10
4.05.2018 19:00	20
4.05.2018 19:15	10
4.05.2018 19:30	0
4.05.2018 19:45	0
4.05.2018 20:00	0
4.05.2018 20:15	0
4.05.2018 20:30	0
4.05.2018 20:45	0
4.05.2018 21:00	0
4.05.2018 21:15	0
4.05.2018 21:30	0
4.05.2018 21:45	0
5.05.2018 04:55	0
5.05.2018 05:00	0
5.05.2018 05:15	0
5.05.2018 05:30	0
5.05.2018 05:45	0
5.05.2018 06:00	0
5.05.2018 06:15	0
5.05.2018 06:30	0
5.05.2018 06:45	0
5.05.2018 07:00	0
5.05.2018 07:15	0
5.05.2018 07:30	0
5.05.2018 07:45	10
5.05.2018 08:00	30
5.05.2018 08:15	20
5.05.2018 08:30	0
5.05.2018 08:45	10
5.05.2018 09:00	0
5.05.2018 09:15	20
5.05.2018 09:30	0
5.05.2018 09:45	30
5.05.2018 10:00	50
5.05.2018 10:15	30
5.05.2018 10:30	30
5.05.2018 10:45	20
5.05.2018 11:00	10
5.05.2018 11:15	70
5.05.2018 11:30	60
5.05.2018 11:45	40
5.05.2018 12:00	40
5.05.2018 12:15	70
5.05.2018 12:30	40
5.05.2018 12:45	80
5.05.2018 13:00	90
5.05.2018 13:15	90
5.05.2018 13:30	90
5.05.2018 13:45	100
5.05.2018 14:00	80
5.05.2018 14:15	80
5.05.2018 14:30	100
5.05.2018 14:45	80
5.05.2018 15:00	40
5.05.2018 15:15	100
5.05.2018 15:30	40
5.05.2018 15:45	70
5.05.2018 16:00	80
5.05.2018 16:15	40
5.05.2018 16:30	40
5.05.2018 16:45	50
5.05.2018 17:00	20
5.05.2018 17:15	10
5.05.2018 17:30	30
5.05.2018 17:45	10
5.05.2018 18:00	20
5.05.2018 18:15	0
5.05.2018 18:30	0
5.05.2018 18:45	0
5.05.2018 19:00	0
5.05.2018 19:15	0
5.05.2018 19:30	0
5.05.2018 19:45	0
5.05.2018 20:00	0
5.05.2018 20:15	0
5.05.2018 20:30	0
5.05.2018 20:45	0
5.05.2018 21:00	0
5.05.2018 21:15	0
5.05.2018 21:30	0
5.05.2018 21:45	0
6.05.2018 04:55	0
6.05.2018 05:00	0
6.05.2018 05:15	0
6.05.2018 05:30	0
6.05.2018 05:45	0
6.05.2018 06:00	0
6.05.2018 06:15	0
6.05.2018 06:30	0
6.05.2018 06:45	0
6.05.2018 07:00	0
6.05.2018 07:15	0
6.05.2018 07:30	10
6.05.2018 07:45	10
6.05.2018 08:00	10
6.05.2018 08:15	10
6.05.2018 08:30	20
6.05.2018 08:45	20
6.05.2018 09:00	0
6.05.2018 09:15	40
6.05.2018 09:30	20
6.05.2018 09:45	20
6.05.2018 10:00	10
6.05.2018 10:15	60
6.05.2018 10:30	10
6.05.2018 10:45	60
6.05.2018 11:00	40
6.05.2018 11:15	30
6.05.2018 11:30	40
6.05.2018 11:45	50
6.05.2018 12:00	20
6.05.2018 12:15	40
6.05.2018 12:30	20
6.05.2018 12:45	40
6.05.2018 13:00	50
6.05.2018 13:15	50
6.05.2018 13:30	0
6.05.2018 13:45	20
6.05.2018 14:00	60
6.05.2018 14:15	90
6.05.2018 14:45	90
6.05.2018 15:00	100
6.05.2018 15:15	60
6.05.2018 15:30	100
6.05.2018 15:45	70
6.05.2018 16:00	70
6.05.2018 16:15	60
6.05.2018 16:30	50
6.05.2018 16:45	10
6.05.2018 17:00	30
6.05.2018 17:15	0
6.05.2018 17:30	40
6.05.2018 17:45	50
6.05.2018 18:00	40
6.05.2018 18:15	40
6.05.2018 18:30	30
6.05.2018 18:45	10
6.05.2018 19:00	0
6.05.2018 19:15	0
6.05.2018 19:30	0
6.05.2018 19:45	0
6.05.2018 20:00	0
6.05.2018 20:15	0
6.05.2018 20:30	0
6.05.2018 20:45	0
6.05.2018 21:00	0
6.05.2018 21:15	0
6.05.2018 21:30	0
6.05.2018 21:45	0
7.05.2018 04:55	0
7.05.2018 05:00	0
7.05.2018 05:15	0
7.05.2018 05:30	0
7.05.2018 05:45	0
7.05.2018 06:00	0
7.05.2018 06:15	0
7.05.2018 06:30	0
7.05.2018 06:45	0
7.05.2018 07:00	10
7.05.2018 07:15	0
7.05.2018 07:45	20
7.05.2018 08:00	0
7.05.2018 08:15	0
7.05.2018 08:30	0
7.05.2018 08:45	20
7.05.2018 09:00	10
7.05.2018 09:15	50
7.05.2018 09:30	10
7.05.2018 09:45	50
7.05.2018 10:00	20
7.05.2018 10:15	30
7.05.2018 10:30	30
7.05.2018 10:45	40
7.05.2018 11:00	0
7.05.2018 11:15	0
7.05.2018 11:30	0
7.05.2018 11:45	20
7.05.2018 12:00	30
7.05.2018 12:15	30
7.05.2018 12:30	30
7.05.2018 12:45	90
7.05.2018 13:00	60
7.05.2018 13:15	50
7.05.2018 13:30	70
7.05.2018 13:45	60
7.05.2018 14:00	30
7.05.2018 14:15	10
7.05.2018 14:30	40
7.05.2018 14:45	20
7.05.2018 15:00	30
